Average Precol GPA,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
3.94,3,164,152
3.96,3,165,157
3.98667,3,145,151
4,3,160,154
4,3,170,143
1.83,3.5,168,155
2.645,3.5,161,150
2.67,3.5,155,143
2.695,3.5,144,152
2.7,3.5,147,141
2.76,3.5,161,151
2.78,3.5,166,155
2.81,3.5,163,147
2.92,3.5,152,158
2.92,3.5,164,159
2.93,3.5,145,144
2.95,3.5,151,151
3.01,3.5,161,142
3.03,3.5,170,148
3.03,3.5,155,165
3.0475,3.5,157,151
3.07,3.5,168,150
3.09,3.5,136,156
3.1,3.5,156,149
3.105,3.5,156,151
3.11667,3.5,166,159
3.125,3.5,164,142
3.14,3.5,163,152
3.15,3.5,164,150
3.15,3.5,166,155
3.2,3.5,159,152
3.2,3.5,164,162
3.20667,3.5,141,159
3.2125,3.5,154,152
3.24,3.5,148,155
3.24,3.5,166,157
3.24,3.5,163,151
3.28,3.5,166,162
3.28,3.5,152,159
3.285,3.5,164,151
3.29,3.5,158,147
3.29,3.5,158,147
3.29,3.5,162,161
3.3,3.5,170,151
3.3,3.5,146,153
3.3075,3.5,168,145
3.32,3.5,166,147
3.33,3.5,159,148
3.33,3.5,168,142
3.34,3.5,139,154
3.34,3.5,150,156
3.36,3.5,166,150
3.37,3.5,158,147
3.375,3.5,166,157
3.37667,3.5,169,152
3.39,3.5,151,156
3.395,3.5,155,144
3.4,3.5,166,149
3.4,3.5,161,163
3.4,3.5,166,155
3.4375,3.5,156,158
3.44,3.5,166,151
3.44667,3.5,166,149
3.44667,3.5,155,138
3.45,3.5,166,152
3.45,3.5,160,155
3.45667,3.5,157,162
3.45667,3.5,137,163
3.475,3.5,160,170
3.48,3.5,159,138
3.48144,3.5,166,140
3.48144,3.5,164,149
3.48144,3.5,166,150
3.48144,3.5,154,162
3.48144,3.5,158,147
3.48144,3.5,140,152
3.48144,3.5,161,151
3.48144,3.5,160,153
3.48144,3.5,166,153
3.48144,3.5,158,168
3.48144,3.5,166,152
3.48144,3.5,163,152
3.48144,3.5,166,139
3.48144,3.5,166,139
3.48144,3.5,166,158
3.48144,3.5,152,150
3.48144,3.5,166,150
3.48144,3.5,166,165
3.48144,3.5,158,145
3.48144,3.5,147,150
3.48144,3.5,165,146
3.48144,3.5,160,145
3.48144,3.5,151,155
3.48144,3.5,155,146
3.48144,3.5,143,170
3.48144,3.5,166,152
3.48144,3.5,166,155
3.48144,3.5,160,158
3.48144,3.5,163,151
3.48144,3.5,146,144
3.48144,3.5,156,154
3.48144,3.5,158,157
3.48144,3.5,160,142
3.48144,3.5,166,154
3.48144,3.5,160,146
3.48144,3.5,162,156
3.48144,3.5,168,143
3.48144,3.5,168,149
3.48144,3.5,157,145
3.48144,3.5,161,154
3.48144,3.5,168,151
3.48144,3.5,151,146
3.48144,3.5,148,149
3.49,3.5,147,156
3.49,3.5,148,148
3.5,3.5,159,158
3.5,3.5,166,148
3.5,3.5,164,148
3.505,3.5,157,149
3.51,3.5,159,160
3.51,3.5,166,153
3.51,3.5,159,159
3.515,3.5,158,164
3.52,3.5,145,149
3.52,3.5,142,158
3.53,3.5,141,152
3.54,3.5,166,151
3.54,3.5,148,157
3.55,3.5,166,154
3.55,3.5,163,151
3.56,3.5,161,151
3.57,3.5,147,152
3.57,3.5,158,157
3.58,3.5,164,151
3.6,3.5,148,148
3.6,3.5,166,147
3.6,3.5,163,151
3.6,3.5,154,143
3.60667,3.5,159,167
3.61,3.5,164,162
3.61,3.5,155,152
3.62,3.5,164,151
3.63,3.5,149,154
3.63,3.5,157,168
3.64,3.5,166,157
3.64,3.5,144,150
3.65,3.5,161,158
3.65,3.5,166,160
3.66,3.5,160,154
3.67,3.5,165,153
3.68,3.5,166,155
3.68,3.5,155,149
3.7,3.5,161,160
3.7,3.5,161,160
3.7,3.5,166,158
3.7,3.5,166,153
3.71,3.5,166,156
3.71,3.5,150,146
3.7225,3.5,140,160
3.73,3.5,161,155
3.745,3.5,160,156
3.76,3.5,146,153
3.77,3.5,161,142
3.77,3.5,166,151
3.77,3.5,147,146
3.78,3.5,139,151
3.8,3.5,136,152
3.8,3.5,151,164
3.8,3.5,161,153
3.805,3.5,141,147
3.81,3.5,157,152
3.85,3.5,160,160
3.86333,3.5,139,149
3.87,3.5,154,151
3.89,3.5,147,156
3.895,3.5,158,150
3.9,3.5,158,160
3.9,3.5,162,153
3.91,3.5,156,155
3.92,3.5,163,154
3.93,3.5,800,410
3.96667,3.5,155,155
3.975,3.5,148,150
3.975,3.5,158,159
3.98,3.5,152,159
4,3.5,158,153
4,3.5,158,155
1.15,3.8165,157.3401,154.9181
1.585,3.8165,157.3401,154.9181
1.89,3.8165,157.3401,154.9181
2.1,3.8165,157.3401,154.9181
2.33333,3.8165,157.3401,154.9181
2.47,3.8165,157.3401,154.9181
2.49,3.8165,157.3401,154.9181
2.52,3.8165,157.3401,154.9181
2.53333,3.8165,157.3401,154.9181
2.58333,3.8165,157.3401,154.9181
2.6,3.8165,157.3401,154.9181
2.60667,3.8165,157.3401,154.9181
2.67,3.8165,157.3401,154.9181
2.69,3.8165,157.3401,154.9181
2.7,3.8165,157.3401,154.9181
2.725,3.8165,157.3401,154.9181
2.79,3.8165,157.3401,154.9181
2.79,3.8165,157.3401,154.9181
2.79429,3.8165,157.3401,154.9181
2.8,3.8165,157.3401,154.9181
2.8,3.8165,157.3401,154.9181
2.81,3.8165,157.3401,154.9181
2.86333,3.8165,157.3401,154.9181
