,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,PC1,PC2,PC3,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,SAPC1,SAPC2,SAPC3   ,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
796,0,0,0,0,2007,27.7,GD Watson,40,Doctor of Philosophy,Male,1,796,Asia,R92,Computer Science,28680.95,Computer Science PhD,0,36612.95,7932,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,0,0,0,0,0,1,0,3,4,5.2,GD Non-Harpur,Asia,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
797,552,4968,574,574,2007,28.7,GD Harpur,41,Doctor of Philosophy,Female,1,797,Africa,C15,Chemistry,4535.6,Harpur Doctor of Philosophy,Masters Prepared,12467.6,7932,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,3.85,0,0,0,0,0,0,-0.08,3,3.95,4.7,GD Harpur,Africa,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
798,0,0,0,0,2006,23.7,GD Harpur,37,Doctor of Philosophy,Male,1,798,White,C29,History,26364.44,Harpur Doctor of Philosophy,Bachelors Prepared,28500.44,2136,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,3.87,4,4,0,0,0,0,6,3.98,5.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
799,0,0,0,0,2007,28.7,GD Harpur,41,Doctor of Philosophy,Female,1,799,Asia,C13,Biological Sciences,24674.9,Harpur Doctor of Philosophy,Masters Prepared,31508.5,6833.6,1,3.79E-16,-5.79E-16,-1.21E-15,3,3,3.49,3.49,4,0,0,0,0,0.25,5,3.4,3.7,GD Harpur,Asia,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
800,0,0,0,0,2007,24.7,GD Harpur,37,Doctor of Philosophy,Female,1,800,Other International Students,C09,Art History,29057.46,Harpur Doctor of Philosophy,Masters Prepared,62091.46,33034,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,0,0,0,0,1,0,4,4,7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
801,0,0,0,0,2008,55.3,GD Harpur,67,Doctor of Philosophy,Female,0,801,Other International Students,C01,Anthropology,7256.95,Harpur Doctor of Philosophy,Bachelors Prepared,7256.95,0,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,2.6,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
802,0,0,0,0,2001,36.7,GD Education,55,Doctor of Education,Female,0,802,Unknown,E99,Educational Theory and Practic,2027.4,Education EDD,0,2027.4,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,3.7,4,4,4,4,4,0,0.01,8,3.96,8,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
803,0,0,0,0,2006,26.7,GD Harpur,40,Doctor of Philosophy,Female,1,803,White,C01,Anthropology,29151.9,Harpur Doctor of Philosophy,Masters Prepared,29849.9,698,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,0,0,0,0,0,0,4,4,3.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
804,4968,552,574,574,2007,24.7,GD Harpur,37,Doctor of Philosophy,Male,1,804,Africa,C15,Chemistry,7581.28,Harpur Doctor of Philosophy,Bachelors Prepared,16903.28,9322,1,3.79E-16,-5.79E-16,-1.21E-15,3.65,3.88,4,0,0,0,0,0,0,0.17,3,3.84,6,GD Harpur,Africa,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
805,0,0,0,0,2005,34.7,GD Harpur,49,Doctor of Philosophy,Female,1,805,Asia,C09,Art History,34941.95,Harpur Doctor of Philosophy,Bachelors Prepared,36045.95,1104,1,3.79E-16,-5.79E-16,-1.21E-15,3.15,3.57,3.5,3.7,4,3.7,0,0,1,0.12,6,3.6,8.7,GD Harpur,Asia,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
806,0,4968,4968,5166,2007,21.7,GD Harpur,34,Doctor of Philosophy,Male,1,806,China,C15,Chemistry,17515.19,Harpur Doctor of Philosophy,Bachelors Prepared,33823.19,16308,1,3.79E-16,-5.79E-16,-1.21E-15,3.85,3.88,3.2,3,0,0,0,0,1,-0.32,4,3.48,5.7,GD Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
807,0,0,0,0,2010,27.3,GD Grad School,37,Doctor of Philosophy,Female,1,807,China,H22,Material Sci and Eng-Engineerg,22682.7,Graduate School PhD,0,26198.7,3516,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,2.3,GD Non-Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
808,0,0,0,0,2009,24,GD Grad School,34,Doctor of Philosophy,Male,1,808,China,H21,Materials Science and Engineer,31245.3,Graduate School PhD,0,34761.3,3516,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,2.8,GD Non-Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
